,60s,180s,600s
total_ply_count,13.592356387449257,17.714475498691638,13.127093296237016
checks_given_white,0.19918220886314467,0.08658935778709065,0.036184708565533207
checks_given_black,0.06458529848868011,0.02854813370328202,0.0794988289925224
check_density_white,0.2068903502681015,0.7604380594009778,1.5475959576794196
check_density_black,0.4092266782284071,1.7669704155433503,1.9905925518120948
first_capture_move_white,3.0039749369227686,2.710695820334697,1.1177879408754638
first_capture_move_black,3.6115842226168318,3.219182555670841,2.1417963378814115
pawn_captures_total,4.790232447298034,2.6827351059658517,0.38979545658049614
piece_captures_total,1.4752961635186825,1.2359198240475184,1.48009395006027
capture_density,7.300325206472536,8.025411303227363,3.3318900220494734
castle_move_white,0.5938090185939018,0.7812056563365672,1.8014259581290635
castle_move_black,0.16793492576728872,1.2126958298025652,0.4301462685730826
consec_same_piece_white,14.722905766039029,13.465261529788231,3.9956931127737128
consec_same_piece_black,13.79025801050805,10.620541118695277,2.7993627118417046
queen_moves_before_10,0.38694363995574577,0.7388466418158733,1.8828623985298805
white_territory_depth,0.22346401379686162,0.049698061795557656,0.15672882509024552
black_territory_depth,-0.05844728737299457,0.11141765288899326,0.6896316344819411
promotions,0.3625612118682871,0.6565165867597026,0.21226157245246213
en_passant_captures,0.09219428593884042,0.18108013360398445,0.07757744416363721
legal_moves_white_move5,1.1056080339549226,1.9139959976422556,1.349546225066111
legal_moves_black_move5,0.3820862362953221,1.508728817444999,0.5075541662883533
avg_time_norm_white,40.3176124693716,18.558265902800184,6.143228923604899
std_time_norm_white,5.786340169336171,17.021980312382556,5.410813636462724
max_time_norm_white,1.0701100472396565,0.8584913816499314,1.4346506990642542
time_pressure_white,0.21875977989799367,-0.0418431237008671,0.045054885480084295
opening_pace_norm_white,4.705411714590288,4.819403564137995,4.4285191432937365
clock_remaining_norm_white,0.5725885190826432,1.4397480192227003,0.2621804867655442
opening_time_norm_white,0.09264249633079658,0.02419473418075313,0.19657564085277576
endgame_time_norm_white,0.9540808110810701,0.9666213786202036,0.4550410869497246
time_spent_trend_norm_white,0.6504445936777662,2.1285999128402957,0.4227228782087972
avg_time_norm_black,11.508489714200826,7.029383243718077,1.7345761311597414
std_time_norm_black,2.4703623228744127,10.622207920050442,4.787342515022384
max_time_norm_black,0.40691633058644544,0.6256693938067978,0.6868866760174797
time_pressure_black,0.20246768315655572,0.021177355580050516,-0.019613468656520656
opening_pace_norm_black,3.816584103732083,4.226877360538585,3.236289472494292
clock_remaining_norm_black,0.8899215201938281,0.4702053320485315,0.4699192095913342
opening_time_norm_black,0.22709851787561774,0.4912625528813616,0.4904261095333216
endgame_time_norm_black,0.36717253106327047,0.37225797533511695,0.3635059750145331
time_spent_trend_norm_black,0.3214535611187633,1.0144726502404826,0.4113857575478619
tc_base,0.0,0.0,0.0
tc_increment,3.3274418744392165,0.674134320753628,2.317075897967063
castle_side_white,0.23843307228474941,0.42386712972242435,0.3414752223296584
castle_side_black,0.09588867799815641,0.2310618255647038,0.492753778785404
